product_id,product_name,category,price
Product_1,F&B Item 1,Frozen,18.38
Product_2,F&B Item 2,Snacks,17.15
Product_3,F&B Item 3,Bakery,9.54
Product_4,F&B Item 4,Snacks,2.81
Product_5,F&B Item 5,Snacks,8.05
Product_6,F&B Item 6,Beverage,13.71
Product_7,F&B Item 7,Bakery,13.65
Product_8,F&B Item 8,Bakery,12.23
Product_9,F&B Item 9,Bakery,6.22
Product_10,F&B Item 10,Snacks,11.66
Product_11,F&B Item 11,Frozen,8.28
Product_12,F&B Item 12,Bakery,19.46
Product_13,F&B Item 13,Snacks,17.13
Product_14,F&B Item 14,Beverage,14.71
Product_15,F&B Item 15,Frozen,5.48
Product_16,F&B Item 16,Beverage,5.87
Product_17,F&B Item 17,Frozen,1.77
Product_18,F&B Item 18,Snacks,14.5
Product_19,F&B Item 19,Dairy,3.11
Product_20,F&B Item 20,Frozen,9.35
Product_21,F&B Item 21,Beverage,4.83
Product_22,F&B Item 22,Snacks,18.02
Product_23,F&B Item 23,Frozen,10.03
Product_24,F&B Item 24,Dairy,11.7
Product_25,F&B Item 25,Dairy,14.21
Product_26,F&B Item 26,Bakery,3.65
Product_27,F&B Item 27,Bakery,12.48
Product_28,F&B Item 28,Beverage,11.26
Product_29,F&B Item 29,Frozen,4.86
Product_30,F&B Item 30,Frozen,18.91
Product_31,F&B Item 31,Bakery,12.38
Product_32,F&B Item 32,Frozen,14.2
Product_33,F&B Item 33,Frozen,17.73
Product_34,F&B Item 34,Dairy,12.86
Product_35,F&B Item 35,Bakery,6.62
Product_36,F&B Item 36,Snacks,3.0
Product_37,F&B Item 37,Bakery,9.67
Product_38,F&B Item 38,Snacks,5.15
Product_39,F&B Item 39,Dairy,8.91
Product_40,F&B Item 40,Beverage,17.78
Product_41,F&B Item 41,Frozen,7.16
Product_42,F&B Item 42,Dairy,3.32
Product_43,F&B Item 43,Frozen,7.77
Product_44,F&B Item 44,Beverage,18.23
Product_45,F&B Item 45,Beverage,6.17
Product_46,F&B Item 46,Dairy,13.31
Product_47,F&B Item 47,Beverage,1.01
Product_48,F&B Item 48,Snacks,7.7
Product_49,F&B Item 49,Beverage,6.79
Product_50,F&B Item 50,Frozen,4.13
Product_51,F&B Item 51,Frozen,11.15
Product_52,F&B Item 52,Frozen,10.21
Product_53,F&B Item 53,Frozen,14.16
Product_54,F&B Item 54,Snacks,6.12
Product_55,F&B Item 55,Bakery,5.64
Product_56,F&B Item 56,Dairy,4.2
Product_57,F&B Item 57,Frozen,5.16
Product_58,F&B Item 58,Beverage,11.6
Product_59,F&B Item 59,Frozen,8.67
Product_60,F&B Item 60,Beverage,2.23
Product_61,F&B Item 61,Beverage,5.82
Product_62,F&B Item 62,Frozen,5.69
Product_63,F&B Item 63,Snacks,14.23
Product_64,F&B Item 64,Beverage,14.53
Product_65,F&B Item 65,Beverage,3.81
Product_66,F&B Item 66,Frozen,19.96
Product_67,F&B Item 67,Beverage,6.07
Product_68,F&B Item 68,Beverage,19.56
Product_69,F&B Item 69,Frozen,8.81
Product_70,F&B Item 70,Frozen,1.63
Product_71,F&B Item 71,Dairy,7.56
Product_72,F&B Item 72,Snacks,13.05
Product_73,F&B Item 73,Snacks,13.93
Product_74,F&B Item 74,Beverage,11.09
Product_75,F&B Item 75,Snacks,9.51
Product_76,F&B Item 76,Beverage,11.5
Product_77,F&B Item 77,Dairy,12.26
Product_78,F&B Item 78,Frozen,2.54
Product_79,F&B Item 79,Frozen,8.02
Product_80,F&B Item 80,Frozen,5.6
Product_81,F&B Item 81,Snacks,16.26
Product_82,F&B Item 82,Dairy,9.94
Product_83,F&B Item 83,Snacks,19.69
Product_84,F&B Item 84,Snacks,8.58
Product_85,F&B Item 85,Dairy,16.51
Product_86,F&B Item 86,Dairy,16.17
Product_87,F&B Item 87,Dairy,3.86
Product_88,F&B Item 88,Dairy,10.66
Product_89,F&B Item 89,Frozen,14.22
Product_90,F&B Item 90,Bakery,17.31
Product_91,F&B Item 91,Bakery,7.19
Product_92,F&B Item 92,Dairy,5.18
Product_93,F&B Item 93,Bakery,14.51
Product_94,F&B Item 94,Bakery,16.38
Product_95,F&B Item 95,Dairy,7.62
Product_96,F&B Item 96,Bakery,2.83
Product_97,F&B Item 97,Snacks,18.87
Product_98,F&B Item 98,Beverage,8.55
Product_99,F&B Item 99,Beverage,10.84
Product_100,F&B Item 100,Dairy,16.92
